type,name,namespace,threat_type,description,removed_at,malware,legitimate_package
maven,groovy-astbuilder,org.apache.groovy,false_positive,"Possible package confusion of [org.codehaus.groovy:groovy-astbuilder]

Explanation: The package names are very similar aside from the organization prefix, with an edit distance of 7, indicating only minor modifications. The change from 'org.codehaus.groovy' to 'org.apache.groovy' mimics a known reputable organization and could potentially deceive users, despite the professional appearance of the namespace. The identical artifact name 'groovy-astbuilder' and highly similar descriptions further suggest an intentional imitation rather than a legitimate fork. With no known maintainers associated with the 'org.apache.groovy' package, the similarities in metadata and naming conventions imply suspicious intent. Risk level: High).",,,org.codehaus.groovy:groovy-astbuilder
maven,groovy-cli-commons,org.apache.groovy,false_positive,"Possible package confusion of [org.codehaus.groovy:groovy-cli-commons]

Explanation: The package 'org.apache.groovy:groovy-cli-commons' is very similar to 'org.codehaus.groovy:groovy-cli-commons' with only a difference in the organizational namespace. The minor differences, including the edit distance and the use of a familiar organizational prefix that mimics a legitimate project, indicate it could deceive users. This similarity, along with nearly identical descriptions and the fact that there are no known maintainers for the Apache version, makes it likely that the package is an intentional fork that could be used deceptively. Therefore, it is not obviously a non-typosquat. Risk level: High).",,,org.codehaus.groovy:groovy-cli-commons
maven,groovy-jaxb,org.apache.groovy,false_positive,"Possible package confusion of [org.codehaus.groovy:groovy-jaxb]

Explanation: The package 'org.apache.groovy:groovy-jaxb' replaces the legitimate namespace 'org.codehaus.groovy' with 'org.apache.groovy', a known organizational name, which makes the package name confusingly similar to the legitimate one. The edit distance and similarity in description strongly indicate that this is an intentional mimic—likely a fork attempting to leverage the reputation of the legitimate package—thus exhibiting suspicious intent despite lack of known maintainers. Risk level: High).",,,org.codehaus.groovy:groovy-jaxb
maven,hive-exec,org.apache.hive,false_positive,"Possible package confusion of [org.spark-project.hive:hive-exec]

Explanation: The package name 'org.apache.hive:hive-exec' is highly similar to 'org.spark-project.hive:hive-exec' with an edit distance of 10 and employs a namespace ('org.apache.hive') that mimics a well-known organization. The similarity in the names and identical descriptions (which are used by the legitimate Apache community) creates a high potential for confusion. Since the namespace is designed to look like a recognized organization and there are no legitimate maintainers associated with 'org.apache.hive:hive-exec', it is classified as an adversarial name with suspicious intent and is identified as an obvious fork rather than having a distinct purpose or being for testing. Risk level: High).",,,org.spark-project.hive:hive-exec
maven,icon,org.mvnpm.at.vaadin,false_positive,Possible package confusion of com.vaadin:vaadin-icons,,,com.vaadin
maven,jaul,com.github.antonsjava,false_positive,"Possible `1-step D-L dist` package confusion of [io.github.antonsjava:jaul]

Explanation: The package 'com.github.antonsjava:jaul' has a namespace that closely mimics 'io.github.antonsjava:jaul', with only a minor change from 'io' to 'com'. The descriptions are identical, and there are no known maintainers, making it likely a typosquat.",,,io.github.antonsjava:jaul
maven,javax.annotation,org.netbeans.external,false_positive,"Possible package confusion of [org.glassfish:javax.annotation]

Explanation: Although the artifact id 'javax.annotation' is identical between the packages, the namespace 'org.netbeans.external' differs significantly from 'org.glassfish'. The high edit distance and distinct organizational prefixes suggest that the package is not using a minor character change to mimic the legitimate package. However, the fact that it appears to be a fork—as indicated by its different namespace and vague description – and the absence of known maintainers raise concerns about its intent. Thus, while it is not an adversarial name based solely on the package name transformation, its overall presentation (fork with vague purpose) and sparse metadata result in suspicion regarding its intent. Risk level: High).",,,org.glassfish:javax.annotation
maven,kafka-clients,ai.superstream,false_positive,Possible package confusion of org.apache.kafka:kafka-clients,,,org.apache.kafka
maven,log4j-1.2.17,org.zenframework.z8.dependencies.commons,false_positive,Possible package confusion of org.apache.logging.log4j:log4j,,,org.apache.logging.log4j
maven,mapstruct-test,io.github.opensabe-tech,false_positive,Possible package confusion of org.mapstruct:mapstruct,,,org.mapstruct
maven,pg-kueue-jooq-jdbc,io.github.vooft,false_positive,Possible package confusion of org.postgresql:postgresql,,,org.postgresql
npm,2.js,,false_positive,"Possible package confusion of [rxjs]

Explanation: The package name '2.js' is not similar to 'rxjs' and does not appear to be a legitimate fork. The lack of a README and the description being an error suggest it may not have a clear purpose. The maintainers are not well-known, and the name '2.js' could potentially confuse users, making it an adversarial name.",,,rxjs
npm,abab,@nolyfill,false_positive,Possible package confusion of abab,,,abab
npm,ab-hooks,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [ahooks]

Explanation: The package name 'ab-hooks' is very similar to 'ahooks' (edit distance of 2) with a minor delimiter addition that could mislead users. The minimal README ('# ab-hooks') and lack of clear distinct purpose indicate that it is positioning itself as a fork of the legitimate 'ahooks', without clear organizational backing, and the modified name is adversarial. These factors collectively suggest suspicious typosquat intent. Risk level: High).",2025-02-25 17:30:40.117,,ahooks
npm,abl-utils,,false_positive,Possible package confusion of utils,,,utils
npm,acady-api-builder,,false_positive,Possible package confusion of claudia-api-builder,,,claudia-api-builder
npm,accounts,@meer-js,stealthy package confusion,"Possible scope confusion package confusion of @near-js/accounts - Explanation: The package '@meer-js/accounts' has a very similar name to '@near-js/accounts', differing by only one character, which is a common pattern in typosquatting. The namespace '@meer-js' does not clearly indicate a legitimate organization or known user, and the maintainer 'mikedotexe' is not recognized as a known maintainer in the npm community. The description of '@meer-js/accounts' is vague and does not clearly differentiate its purpose from '@near-js/accounts'.",,,@near-js/accounts
npm,acidy-ui,,false_positive,"Possible package confusion of material-ui - Explanation: The package 'acidy-ui' has no README data, which is abnormal and makes it difficult to determine its purpose. The name 'acidy-ui' does not appear to be an intentional play on words or a creative variation of 'material-ui'. The maintainer 'artemis69' is not recognized as a known maintainer in the npm community. The lack of namespace information and README data makes it suspicious, as it could potentially confuse users looking for 'material-ui'.",2024-12-12 18:25:10.400,,material-ui
npm,acolor,,false_positive,Possible package confusion of color,,,color
npm,actml,,false_positive,"Possible package confusion of [html]

Explanation: The package name 'actml' is similar to 'html' and can deceive users due to its similarity, making it an adversarial name. The purpose of 'actml' is distinct from 'html', as it serves a different function related to JSX syntax. Although it has a known maintainer, the similarity in names and potential for confusion classify it as suspicious.",,,html
npm,adminlte4,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [admin-lte]

Explanation: The package 'adminlte4' closely resembles 'admin-lte' with a minor change in the name, which could confuse users. The description suggests it is related to AdminLTE v4, but it is not clear if it is an official update or fork. The maintainer 'marlonluan' is not a widely recognized maintainer in the npm community, increasing suspicion. The lack of a clear distinction in purpose or namespace further suggests it could be a typosquat.",,,admin-lte
npm,advertonads-ui-core,,false_positive,"Possible package confusion of [@keystone-ui/core]

Explanation: The package 'advertonads-ui-core' shares a significant similarity with '@keystone-ui/core' specifically by adopting the “-ui-core” suffix, which can confuse users despite the higher overall edit distance of 9. Its namespace (or lack thereof) is different, but the similarity in the suffix and the minimal README data (""# adv-ui-core"") raise suspicion. Also, the maintainers list only includes 'advertonads', which does not match the known organizational affiliation behind '@keystone-ui/core'. The structure and naming pattern indicate it is likely an intentional fork designed to mimic the legitimate package, thus leading to adversarial naming and suspicious intent. As such, the package is flagged under typosquatting criteria. Risk level: High).",,,@keystone-ui/core
npm,ag-bundle,,false_positive,"Possible package confusion of ag-channel - Explanation: The package 'ag-bundle' has no README data, which is abnormal, and the name is not sufficiently distinct from 'ag-channel'. The maintainer 'fangxqadmin' is not recognized as a known maintainer in the npm community, increasing suspicion. The lack of description and the similarity in naming suggest it could be a typosquat.",,,ag-channel
npm,aggregate-error,@types,false_positive,"Possible `scope confusion` package confusion of [aggregate-error]

Explanation: @types/aggregate-error is a scoped package that indicates it is related to TypeScript definitions for the aggregate-error package. The '@types/' namespace is a common convention for TypeScript type definitions, which makes it legitimate. However, the similarity in names and the potential for confusion with the legitimate package makes it adversarial. The maintainers are known in the npm community, which reduces suspicion, but the close naming still raises concerns.",,,aggregate-error
npm,ai-agent-client,,false_positive,"Possible package confusion of [@fal-ai/client]

Explanation: The package name 'ai-agent-client' is highly similar to '@fal-ai/client' with a low modification (edit distance of 8) and exhibits signs of scope confusion, as it drops the '@' scope and reorders components in the name. Furthermore, the absence of README data combined with a suspicious release metadata increases the likelihood of it being an intentional mimic and a fork. The maintainers list does not appear to match the known maintainers of the legitimate package, which further raises suspicions. Overall, based solely on the package name and available metadata, the name is adversarial, the package is a fork mimic rather than offering a distinct purpose, and exhibits suspicious intent. Risk level: High).",,,@fal-ai/client
npm,aidoku-logcat,,false_positive,"Possible package confusion of [adbkit-logcat]

Explanation: The package 'aidoku-logcat' has no README data, which is abnormal. The name 'aidoku-logcat' is similar to 'adbkit-logcat', with only a few character changes, which could confuse users. The maintainer 'jimiswaytooepic' is not recognized as a known maintainer in the npm community. These factors contribute to the suspicion of it being a typosquat.",,,adbkit-logcat
npm,akv-model-viewer,,false_positive,Possible package confusion of @google/model-viewer,,,@google/model-viewer
npm,alidurl,,stealthy package confusion,"Possible `1-step D-L dist` package confusion of [valid-url]

Explanation: The package name 'alidurl' is very similar to 'valid-url' with a minor character alteration (edit distance of 2), making it an intentional mimic. Based solely on the package name, it qualifies as an adversarial name. The naming similarity and metadata mimic suggest that 'alidurl' is a fork of 'valid-url', and it does not have an obviously distinct purpose. The maintainers are listed as ['npm'], indicating known maintainers, but the description 'security holding package' combined with the close similarity to the legitimate package raises suspicion of malicious intent. Risk level: High).",2025-02-25 17:45:54.873,,valid-url
npm,altek-ui,,false_positive,"Possible package confusion of [@alpinejs/ui]

Explanation: The package 'altek-ui' has a similar name structure to '@alpinejs/ui', with 'altek' being a potential typo or variation of 'alpine'. Both packages lack README data, making it difficult to determine their purpose or legitimacy. The maintainer 'heyheyjude' is not recognized as a known maintainer in the npm community, and the lack of namespace in 'altek-ui' adds to the suspicion. The similarity in name and lack of additional information suggest it could be a typosquat.",,,@alpinejs/ui
npm,analysis-shared-utils,,malware,"Possible package confusion of [@vuepress/shared-utils]

Explanation: The package 'analysis-shared-utils' is described as a 'security holding package', which is often used to prevent typosquatting. The name is similar enough to '@vuepress/shared-utils' to potentially confuse users, especially since both include 'shared-utils'. There is no indication of a distinct purpose or known maintainers, and the lack of a namespace makes it more suspicious.",2024-12-19 21:54:48.380,,@vuepress/shared-utils
npm,analytics,@ravti,false_positive,"Possible `scope confusion` package confusion of [analytics]

Explanation: The package '@ravti/analytics' lacks a description and uses a namespace that does not clearly indicate a legitimate organization or user. The maintainers are not widely recognized in the npm community, and the absence of README data makes it difficult to determine its purpose. These factors contribute to the suspicion of it being a typosquat.",,,analytics
npm,angular-calendar-guiddle,,stealthy package confusion,"Possible `simplification` package confusion of [angular-calendar]

Explanation: The package name 'angular-calendar-guiddle' is a minor variation of the legitimate package 'angular-calendar' achieved by adding a suffix. Despite an edit distance of 8, the naming pattern (suffix augmentation) is one method used to mimic and confuse users. In addition, the descriptions are nearly identical, suggesting no distinct purpose. The only maintainer, 'kaleu50', does not appear to be a known maintainer, raising further concerns. Therefore, this package appears to be an adversarial mimic (typosquat) of angular-calendar and is being considered as a fork with suspicious intent. Risk level: High).",,,angular-calendar
npm,angular-ngx-autocomplete,,stealthy package confusion,Possible package confusion of angular-ng-autocomplete,,,angular-ng-autocomplete
npm,angularx-social-login,@hoi4,stealthy package confusion,"Possible `scope confusion` package confusion of [angularx-social-login]

Explanation: The scoped package '@hoi4/angularx-social-login' closely mimics the legitimate package 'angularx-social-login' by simply adding a namespace. The similarity in the core name, along with the use of a personal namespace (@hoi4) that does not match the known organization behind the original package, raises a red flag for typosquatting. The description and functionality appear nearly identical to the legitimate package, and there is no indication that it is an authorized fork or intended for testing.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,angularx-social-login
npm,antd-solid,,stealthy package confusion,Possible simplification package confusion of antd,,,antd
npm,anteros-react,,false_positive,"Possible `simplification` package confusion of [react]

Explanation: The package name 'anteros-react' uses prefix augmentation with 'anteros-' added to 'react', which fits common typosquatting strategies. Despite the edit distance being 8, the name leverages compound squatting tactics that could potentially mislead users by mimicking 'react'. Its description does not clearly differentiate its purpose from React and appears to be a fork rather than a distinct utility. Additionally, the use of a single maintainer ('edsonmartins') without strong community backing further supports the potential for typosquatting. Risk level: High).",,,react
npm,api,@amaui,false_positive,Possible package confusion of api,,,api
npm,api,@dadi,false_positive,"Possible `scope confusion` package confusion of [api]

Explanation: @dadi/api has a namespace that could confuse users as it adds a scope to a common package name 'api'. The similarity in names and the potential for user deception classify it as an adversarial name. It appears to be a fork due to the namespace indicating a specific organization, and it has a distinct purpose compared to the legitimate package. The presence of known maintainers reduces suspicion, but the overall context still raises concerns.",,,api
npm,api,@eciol,false_positive,Possible package confusion of api,,,api
npm,api,@epochs,false_positive,"Possible `scope confusion` package confusion of [api]

Explanation: The package '@epochs/api' lacks a description and uses a namespace that does not clearly indicate a legitimate organization or user. The lack of README data and the generic nature of the namespace suggest it could be a typosquat, especially since 'api' is a common term.",,,api
npm,api,@grammers,false_positive,Possible package confusion of api,,,api
npm,api,@hiyllo,false_positive,"Possible `scope confusion` package confusion of [api]

Explanation: @hiyllo/api is considered an adversarial name due to the namespace '@hiyllo/' which could confuse users into thinking it is related to the legitimate 'api'. The purpose of the package is distinct as it relates to Hiyllo services, which is different from the general 'api'. The maintainers are known, but the namespace and potential for user confusion classify it as suspicious.",,,api
npm,api,@inexture,false_positive,Possible package confusion of api,,,api
npm,api,@lwrjs,false_positive,Possible package confusion of api,,,api
npm,api,@merkl,false_positive,Possible package confusion of @verdaccio/api,,,@verdaccio/api
npm,api,@mna,false_positive,Possible package confusion of api,,,api
npm,api,@pdg,false_positive,Possible package confusion of api,,,api
npm,api,@pixli,false_positive,Possible package confusion of api,,,api
npm,api,@reflct,false_positive,Possible package confusion of api,,,api
npm,api,@softvisio,false_positive,Possible package confusion of @webcontainer/api,,,@webcontainer/api
npm,api,@ulld,false_positive,Possible package confusion of api,,,api
npm,apidi-plugin-hapi,,false_positive,Possible package confusion of @hapi/eslint-plugin-hapi,,,@hapi/eslint-plugin-hapi
npm,api-utility,,vulnerability,"Possible package confusion of [api]

Explanation: The package 'api-utility' lacks a description, making it difficult to determine its purpose or legitimacy. The name 'api-utility' could potentially confuse users looking for 'api', especially since 'api' is a common term. The maintainer 'jackzard' is not recognized as a known maintainer in the npm community, adding to the suspicion.",2024-12-20 09:26:28.691,,api
npm,app,@leafer-ui,false_positive,Possible package confusion of @lobehub/ui,,,@lobehub/ui
npm,app-apispec,,false_positive,"Possible package confusion of [app-builder]

Explanation: The package name 'app-apispec' is similar to 'app-builder' but has a different purpose, indicating it could be an adversarial name. The maintainers are known, which reduces suspicion, but the name could still confuse users due to its similarity. The lack of a clear indication that it is a fork and the potential for user deception leads to a classification of suspicious.",,,app-builder
npm,apple-utils,,stealthy package confusion,"Possible package confusion of [@expo/apple-utils]

Explanation: The package name 'apple-utils' is extremely similar to '@expo/apple-utils' aside from omitting the namespace, which can easily confuse users. Its name modification fits adversarial patterns like namespace confusion, and coupled with the abnormal 'security holding package' description and lack of identifiable maintainers, it is highly indicative of a typosquat rather than a legitimate fork or alternative usage.Package is adversarial and have similar purpose, so it's likely a typosquat.",2025-02-07 06:50:10.129,,@expo/apple-utils
npm,ardy-api,,false_positive,Possible simplification package confusion of api,,,api
npm,arena-prop-types,,false_positive,"Possible `simplification` package confusion of [prop-types]

Explanation: The package name 'arena-prop-types' is a clear prefix augmentation of the legitimate 'prop-types', making it likely to deceive users by mimicking the well-known package. The naming similarity (only an added 'arena-' prefix) falls under adversarial name strategies. In addition, the package appears to be a fork of 'prop-types' rather than offering distinct functionality, as indicated by the similar emphasis on prop type definitions. The maintainer is not known or affiliated with the legitimate package and the metadata (including the minimalistic README) raises further suspicion of deceptive intent. Risk level: High).",,,prop-types
npm,aron-cli,,false_positive,"Possible `simplification` package confusion of [cli]

Explanation: The package name 'aron-cli' adds a personal prefix to the common name 'cli', which could be interpreted as a fork; however, the very minimal description and missing README data, combined with the suspicious naming pattern and edit distance of 5 (due mostly to the insertion of 'aron-'), indicate that it is likely intended to mimic the legitimate CLI toolkit. The username '1aron' further supports that this is a fork-like package and its unconventional presentation raises flags for potential typosquatting. Risk level: High).",,,cli
npm,array-buffer-byte-length,@nolyfill,false_positive,Possible package confusion of array-buffer-byte-length,,,array-buffer-byte-length
npm,arraybuffer.prototype.slice,@nolyfill,false_positive,Possible package confusion of arraybuffer.prototype.slice,,,arraybuffer.prototype.slice
npm,array-flatten,@nolyfill,false_positive,Possible package confusion of array-flatten,,,array-flatten
npm,array-includes,@nolyfill,false_positive,Possible package confusion of array-includes,,,array-includes
npm,array.prototype.at,@nolyfill,false_positive,Possible package confusion of array.prototype.at,,,array.prototype.at
npm,array.prototype.every,@nolyfill,false_positive,Possible package confusion of array.prototype.every,,,array.prototype.every
npm,array.prototype.every,@types,false_positive,"Possible `scope confusion` package confusion of [array.prototype.every]

Explanation: The package '@types/array.prototype.every' is an intentional mimic of 'array.prototype.every' due to the addition of the '@types/' namespace, which is commonly used for type definitions in TypeScript. This creates a potential for confusion among users. The package appears to be a fork as it is related to type definitions, but it does not have a distinct purpose from the legitimate package. The maintainers are known in the npm community, which adds to its legitimacy, but the namespace could still mislead users.",,,array.prototype.every
npm,array.prototype.find,@nolyfill,false_positive,Possible package confusion of array.prototype.find,,,array.prototype.find
npm,array.prototype.find,@types,false_positive,"Possible `scope confusion` package confusion of [array.prototype.find]

Explanation: The package '@types/array.prototype.find' is considered an adversarial name due to the '@types/' namespace, which is commonly used for type definitions in TypeScript, potentially confusing users. It is likely a fork since it does not have a description indicating it is a direct fork of 'array.prototype.find', but the namespace suggests it is related to type definitions. The maintainers are known in the npm community, which adds to its legitimacy, but the namespace difference raises suspicion.",,,array.prototype.find
npm,array.prototype.findlastindex,@nolyfill,false_positive,Possible package confusion of array.prototype.findlastindex,,,array.prototype.findlastindex
npm,array.prototype.flat,@nolyfill,false_positive,Possible package confusion of array.prototype.flat,,,array.prototype.flat
npm,array.prototype.flat,@types,false_positive,"Possible `scope confusion` package confusion of [array.prototype.flat]

Explanation: The package '@types/array.prototype.flat' uses a common namespace '@types/' which is legitimate for type definitions, but it could potentially confuse users as it mimics the legitimate package 'array.prototype.flat'. The names are closely related, indicating a possible adversarial intent. However, it is likely a fork since it does not have a distinct purpose from the original package. The maintainers are known in the npm community, which adds to its legitimacy, but the potential for confusion remains.",,,array.prototype.flat
npm,array.prototype.flatmap,@nolyfill,false_positive,Possible package confusion of array.prototype.flatmap,,,array.prototype.flatmap
npm,array.prototype.flatmap,@nomopo,false_positive,"Possible `scope confusion` package confusion of [array.prototype.flatmap]

Explanation: The package name '@nomopo/array.prototype.flatmap' only adds a namespace to the well‐known name 'array.prototype.flatmap', which is a minor modification that can confuse users. There is no indication it is an official fork or has a distinct purpose, and the namespace does not clearly represent a bona fide organization. Although the maintainer appears legitimate, the naming itself is adversarial and suspicious.Package is adversarial and have similar purpose, so it's likely a typosquat.",,,array.prototype.flatmap
npm,array.prototype.flatmap,@types,false_positive,"Possible `scope confusion` package confusion of [array.prototype.flatmap]

Explanation: The package '@types/array.prototype.flatmap' is an intentional mimic of 'array.prototype.flatmap' due to the addition of the '@types/' namespace, which is commonly used for type definitions in TypeScript. This creates potential confusion for users. The maintainers are known in the npm community, which adds some legitimacy, but the namespace change suggests a possible attempt to deceive users. The package does not appear to be a fork as it does not indicate that it is a fork in its name or description.",,,array.prototype.flatmap
npm,array.prototype.flatten,,false_positive,Possible package confusion of array.prototype.flat,,,array.prototype.flat
npm,array.prototype.foreach,@nolyfill,false_positive,Possible package confusion of array.prototype.foreach,,,array.prototype.foreach
npm,array.prototype.toreversed,@nolyfill,false_positive,Possible package confusion of array.prototype.toreversed,,,array.prototype.toreversed
npm,array.prototype.tosorted,@nolyfill,false_positive,Possible package confusion of array.prototype.tosorted,,,array.prototype.tosorted
npm,arr-union,,false_positive,Possible package confusion of array-union,2024-12-08 14:56:05.315,,array-union
npm,ascendex-test,,malware,"Possible package confusion of [test]

Explanation: The package name 'ascendex-test' uses a prefix (ascendex-) added to the legitimate package name 'test', which is a common method of compound squatting. Despite the relatively high edit distance of 9, the use of an organizational prefix and similarity to 'test' can easily confuse users. The name appears to be a fork (as indicated by the naming convention) that likely mimics the legitimate package but without clear distinct purposes – both reference testing. Furthermore, the description 'security holding package' is suspicious, supporting the idea of typosquatting with malicious intent. Finally, the absence of known maintainers further raises concerns. Risk level: High).",2025-02-26 01:41:37.448,,test
npm,assert,@gaiiaa,false_positive,Possible package confusion of assert,,,assert
npm,assert,@jezvejs,false_positive,"Possible scope confusion package confusion of assert - Explanation: The package '@jezvejs/assert' has a recognizable namespace which could indicate a typosquat attempt, especially since 'assert' is a well-known package. The lack of README data and the unknown maintainer further contribute to its suspicious nature.",,,assert
npm,assert,@kingjs,false_positive,Possible package confusion of assert,,,assert
npm,assert,@nolyfill,false_positive,Possible package confusion of assert,,,assert
npm,assert,@notdutzi,false_positive,Possible package confusion of assert,,,assert
npm,ast-monkey,,false_positive,Possible package confusion of fs-monkey,,,fs-monkey
npm,astra-cli,,false_positive,"Possible package confusion of [cli]

Explanation: The package name 'astra-cli' is considered an adversarial name due to its similarity to 'cli', which could confuse users. The maintainers are known, which reduces suspicion, but the distinct purpose of 'astra-cli' and its potential to mislead users still make it suspicious.",2025-02-06 14:57:41.448,,cli
npm,asy-diff,,false_positive,"Possible `1-step D-L dist` package confusion of [arr-diff]

Explanation: The package name 'asy-diff' is very similar to 'arr-diff' with only a one-letter substitution, which makes it potentially adversarial. Although its description indicates an asynchronous diff functionality distinct from what 'arr-diff' provides, the deliberately similar name raises suspicion. There is no explicit indication that it is a fork (such as user name or explicit fork notice) even though the functionality differs, and its use in testing-like asynchronous operations (and potential experimental nature) further complicates trust. The presence of a recognized maintainer ('youjia') adds some credibility, but overall the naming mimicry combined with some unconventional purpose causes concern, resulting in an overall suspicion.Package is likely a potential typosquat threat.",,,arr-diff
npm,asynciterator.prototype,@nolyfill,false_positive,Possible package confusion of asynciterator.prototype,,,asynciterator.prototype
npm,atlantis-api,,false_positive,"Possible package confusion of [api]

Explanation: The package 'atlantis-api' is labeled as a 'security holding package', which often indicates a placeholder to prevent typosquatting. The name 'atlantis-api' could potentially confuse users looking for 'api', especially since 'api' is a common term. The lack of known maintainers and the absence of a namespace further contribute to its suspicious nature.",2024-12-19 09:31:14.416,,api
npm,auth,@nocobase,false_positive,Possible package confusion of prismarine-auth,,,prismarine-auth
npm,auth,@operato,false_positive,"Possible `scope confusion` package confusion of [auth]

Explanation: The package '@operato/auth' lacks a description and uses a namespace that does not clearly indicate a legitimate organization or user. The maintainers are not recognized as prominent figures in the npm community, and the absence of README data makes it difficult to ascertain its purpose. The namespace '@operato' does not provide enough context to rule out the possibility of typosquatting, especially given the generic nature of the package name 'auth'.",,,auth
